Unnamed: 0,fighter_a_name,fighter_b_name,fighter_a_record,fighter_a_height,fighter_a_weight,fighter_a_reach,fighter_a_stance,fighter_a_dob,fighter_b_record,fighter_b_height,fighter_b_weight,fighter_b_reach,fighter_b_stance,fighter_b_dob,date,location,weight_class,victory_method,final_round,finish_time,number_of_rounds,winner,fighter_a_kd,fighter_b_kd,fighter_a_sig_str_landed,fighter_a_sig_str_attempted,fighter_b_sig_str_landed,fighter_b_sig_str_attempted,fighter_a_sig_str_pct,fighter_b_sig_str_pct,fighter_a_total_str_landed,fighter_a_total_str_attempted,fighter_b_total_str_landed,fighter_b_total_str_attempted,fighter_a_td_landed,fighter_a_td_attempted,fighter_b_td_landed,fighter_b_td_attempted,fighter_a_td_pct,fighter_b_td_pct,fighter_a_sub_att,fighter_b_sub_att,fighter_a_rev,fighter_b_rev,fighter_a_ctrl_seconds,fighter_b_ctrl_seconds,fighter_a_kd_01,fighter_b_kd_01,fighter_a_sig_str_landed_01,fighter_a_sig_str_attempted_01,fighter_b_sig_str_landed_01,fighter_b_sig_str_attempted_01,fighter_a_sig_str_pct_01,fighter_b_sig_str_pct_01,fighter_a_total_str_landed_01,fighter_a_total_str_attempted_01,fighter_b_total_str_landed_01,fighter_b_total_str_attempted_01,fighter_a_td_landed_01,fighter_a_td_attempted_01,fighter_b_td_landed_01,fighter_b_td_attempted_01,fighter_a_td_pct_01,fighter_b_td_pct_01,fighter_a_sub_att_01,fighter_b_sub_att_01,fighter_a_rev_01,fighter_b_rev_01,fighter_a_ctrl_seconds_01,fighter_b_ctrl_seconds_01,fighter_a_kd_02,fighter_b_kd_02,fighter_a_sig_str_landed_02,fighter_a_sig_str_attempted_02,fighter_b_sig_str_landed_02,fighter_b_sig_str_attempted_02,fighter_a_sig_str_pct_02,fighter_b_sig_str_pct_02,fighter_a_total_str_landed_02,fighter_a_total_str_attempted_02,fighter_b_total_str_landed_02,fighter_b_total_str_attempted_02,fighter_a_td_landed_02,fighter_a_td_attempted_02,fighter_b_td_landed_02,fighter_b_td_attempted_02,fighter_a_td_pct_02,fighter_b_td_pct_02,fighter_a_sub_att_02,fighter_b_sub_att_02,fighter_a_rev_02,fighter_b_rev_02,fighter_a_ctrl_seconds_02,fighter_b_ctrl_seconds_02,fighter_a_kd_03,fighter_b_kd_03,fighter_a_sig_str_landed_03,fighter_a_sig_str_attempted_03,fighter_b_sig_str_landed_03,fighter_b_sig_str_attempted_03,fighter_a_sig_str_pct_03,fighter_b_sig_str_pct_03,fighter_a_total_str_landed_03,fighter_a_total_str_attempted_03,fighter_b_total_str_landed_03,fighter_b_total_str_attempted_03,fighter_a_td_landed_03,fighter_a_td_attempted_03,fighter_b_td_landed_03,fighter_b_td_attempted_03,fighter_a_td_pct_03,fighter_b_td_pct_03,fighter_a_sub_att_03,fighter_b_sub_att_03,fighter_a_rev_03,fighter_b_rev_03,fighter_a_ctrl_seconds_03,fighter_b_ctrl_seconds_03,fighter_a_kd_04,fighter_b_kd_04,fighter_a_sig_str_landed_04,fighter_a_sig_str_attempted_04,fighter_b_sig_str_landed_04,fighter_b_sig_str_attempted_04,fighter_a_sig_str_pct_04,fighter_b_sig_str_pct_04,fighter_a_total_str_landed_04,fighter_a_total_str_attempted_04,fighter_b_total_str_landed_04,fighter_b_total_str_attempted_04,fighter_a_td_landed_04,fighter_a_td_attempted_04,fighter_b_td_landed_04,fighter_b_td_attempted_04,fighter_a_td_pct_04,fighter_b_td_pct_04,fighter_a_sub_att_04,fighter_b_sub_att_04,fighter_a_rev_04,fighter_b_rev_04,fighter_a_ctrl_seconds_04,fighter_b_ctrl_seconds_04,fighter_a_head_landed,fighter_a_head_attempted,fighter_b_head_landed,fighter_b_head_attempted,fighter_a_body_landed,fighter_a_body_attempted,fighter_b_body_landed,fighter_b_body_attempted,fighter_a_leg_landed,fighter_a_leg_attempted,fighter_b_leg_landed,fighter_b_leg_attempted,fighter_a_distance_landed,fighter_a_distance_attempted,fighter_b_distance_landed,fighter_b_distance_attempted,fighter_a_clinch_landed,fighter_a_clinch_attempted,fighter_b_clinch_landed,fighter_b_clinch_attempted,fighter_a_ground_landed,fighter_a_ground_attempted,fighter_b_ground_landed,fighter_b_ground_attempted,fighter_a_head_landed_01,fighter_a_head_attempted_01,fighter_b_head_landed_01,fighter_b_head_attempted_01,fighter_a_body_landed_01,fighter_a_body_attempted_01,fighter_b_body_landed_01,fighter_b_body_attempted_01,fighter_a_leg_landed_01,fighter_a_leg_attempted_01,fighter_b_leg_landed_01,fighter_b_leg_attempted_01,fighter_a_distance_landed_01,fighter_a_distance_attempted_01,fighter_b_distance_landed_01,fighter_b_distance_attempted_01,fighter_a_clinch_landed_01,fighter_a_clinch_attempted_01,fighter_b_clinch_landed_01,fighter_b_clinch_attempted_01,fighter_a_ground_landed_01,fighter_a_ground_attempted_01,fighter_b_ground_landed_01,fighter_b_ground_attempted_01,fighter_a_head_landed_02,fighter_a_head_attempted_02,fighter_b_head_landed_02,fighter_b_head_attempted_02,fighter_a_body_landed_02,fighter_a_body_attempted_02,fighter_b_body_landed_02,fighter_b_body_attempted_02,fighter_a_leg_landed_02,fighter_a_leg_attempted_02,fighter_b_leg_landed_02,fighter_b_leg_attempted_02,fighter_a_distance_landed_02,fighter_a_distance_attempted_02,fighter_b_distance_landed_02,fighter_b_distance_attempted_02,fighter_a_clinch_landed_02,fighter_a_clinch_attempted_02,fighter_b_clinch_landed_02,fighter_b_clinch_attempted_02,fighter_a_ground_landed_02,fighter_a_ground_attempted_02,fighter_b_ground_landed_02,fighter_b_ground_attempted_02,fighter_a_head_landed_03,fighter_a_head_attempted_03,fighter_b_head_landed_03,fighter_b_head_attempted_03,fighter_a_body_landed_03,fighter_a_body_attempted_03,fighter_b_body_landed_03,fighter_b_body_attempted_03,fighter_a_leg_landed_03,fighter_a_leg_attempted_03,fighter_b_leg_landed_03,fighter_b_leg_attempted_03,fighter_a_distance_landed_03,fighter_a_distance_attempted_03,fighter_b_distance_landed_03,fighter_b_distance_attempted_03,fighter_a_clinch_landed_03,fighter_a_clinch_attempted_03,fighter_b_clinch_landed_03,fighter_b_clinch_attempted_03,fighter_a_ground_landed_03,fighter_a_ground_attempted_03,fighter_b_ground_landed_03,fighter_b_ground_attempted_03,fighter_a_head_landed_04,fighter_a_head_attempted_04,fighter_b_head_landed_04,fighter_b_head_attempted_04,fighter_a_body_landed_04,fighter_a_body_attempted_04,fighter_b_body_landed_04,fighter_b_body_attempted_04,fighter_a_leg_landed_04,fighter_a_leg_attempted_04,fighter_b_leg_landed_04,fighter_b_leg_attempted_04,fighter_a_distance_landed_04,fighter_a_distance_attempted_04,fighter_b_distance_landed_04,fighter_b_distance_attempted_04,fighter_a_clinch_landed_04,fighter_a_clinch_attempted_04,fighter_b_clinch_landed_04,fighter_b_clinch_attempted_04,fighter_a_ground_landed_04,fighter_a_ground_attempted_04,fighter_b_ground_landed_04,fighter_b_ground_attempted_04,fighter_a_kd_05,fighter_b_kd_05,fighter_a_sig_str_landed_05,fighter_a_sig_str_attempted_05,fighter_b_sig_str_landed_05,fighter_b_sig_str_attempted_05,fighter_a_sig_str_pct_05,fighter_b_sig_str_pct_05,fighter_a_total_str_landed_05,fighter_a_total_str_attempted_05,fighter_b_total_str_landed_05,fighter_b_total_str_attempted_05,fighter_a_td_landed_05,fighter_a_td_attempted_05,fighter_b_td_landed_05,fighter_b_td_attempted_05,fighter_a_td_pct_05,fighter_b_td_pct_05,fighter_a_sub_att_05,fighter_b_sub_att_05,fighter_a_rev_05,fighter_b_rev_05,fighter_a_ctrl_seconds_05,fighter_b_ctrl_seconds_05,fighter_a_head_landed_05,fighter_a_head_attempted_05,fighter_b_head_landed_05,fighter_b_head_attempted_05,fighter_a_body_landed_05,fighter_a_body_attempted_05,fighter_b_body_landed_05,fighter_b_body_attempted_05,fighter_a_leg_landed_05,fighter_a_leg_attempted_05,fighter_b_leg_landed_05,fighter_b_leg_attempted_05,fighter_a_distance_landed_05,fighter_a_distance_attempted_05,fighter_b_distance_landed_05,fighter_b_distance_attempted_05,fighter_a_clinch_landed_05,fighter_a_clinch_attempted_05,fighter_b_clinch_landed_05,fighter_b_clinch_attempted_05,fighter_a_ground_landed_05,fighter_a_ground_attempted_05,fighter_b_ground_landed_05,fighter_b_ground_attempted_05,fighter_a_Bantamweight_rank,fighter_b_Bantamweight_rank,fighter_a_Featherweight_rank,fighter_b_Featherweight_rank,fighter_a_Flyweight_rank,fighter_b_Flyweight_rank,fighter_a_Heavyweight_rank,fighter_b_Heavyweight_rank,fighter_a_Light_Heavyweight_rank,fighter_b_Light_Heavyweight_rank,fighter_a_Lightweight_rank,fighter_b_Lightweight_rank,fighter_a_Mens_Pound_for_Pound_rank,fighter_b_Mens_Pound_for_Pound_rank,fighter_a_Middleweight_rank,fighter_b_Middleweight_rank,fighter_a_Pound_for_Pound_rank,fighter_b_Pound_for_Pound_rank,fighter_a_Welterweight_rank,fighter_b_Welterweight_rank,fighter_a_Womens_Bantamweight_rank,fighter_b_Womens_Bantamweight_rank,fighter_a_Womens_Featherweight_rank,fighter_b_Womens_Featherweight_rank,fighter_a_Womens_Flyweight_rank,fighter_b_Womens_Flyweight_rank,fighter_a_Womens_Pound_for_Pound_rank,fighter_b_Womens_Pound_for_Pound_rank,fighter_a_Womens_Strawweight_rank,fighter_b_Womens_Strawweight_rank,fighter_a_fight_weight_rank,fighter_b_fight_weight_rank,better_ranked_fighter,fighter_a_other_rankings,fighter_b_other_rankings,fighter_a_best_other_rank,fighter_b_best_other_rank
10,Gabriella Fernandes,Julija Stoliarenko,11-3-0,66.0,125,66.0,Southpaw,13/08/1993,11-10-2,67.0,125,66.0,Orthodox,08/04/1993,2025-08-09,"Las Vegas, Nevada, USA",Women's Flyweight,Decision - Unanimous,3,5:00,3,a,0,0,59,114,61,161,51.0,37.0,59,114,64,167,0,0,0,6,0.0,0.0,0,0,0,0,0,74,0,0,19,45,19,47,42.0,40.0,19,45,19,49,0,0,0,2,0.0,0.0,0,0,0,0,0,13,0.0,0.0,23.0,38.0,18.0,43.0,60.0,41.0,23.0,38.0,19.0,44.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,17.0,31.0,24.0,71.0,54.0,33.0,17.0,31.0,26.0,74.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,38,91,28,117,15,17,13,20,6,6,20,24,58,112,56,154,1,2,5,7,0,0,0,0,10,35,9,32,9,10,1,3,0,0,9,12,19,45,19,46,0,0,0,1,0,0,0,0,14.0,28.0,9.0,32.0,4.0,5.0,1.0,3.0,5.0,5.0,8.0,8.0,23.0,37.0,18.0,42.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,28.0,10.0,53.0,2.0,2.0,11.0,14.0,1.0,1.0,3.0,4.0,16.0,30.0,19.0,66.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
11,Eric McConico,Cody Brundage,10-3-1,72.0,185,77.0,Southpaw,09/05/1990,11-7-1,72.0,185,72.0,Orthodox,16/05/1994,2025-08-09,"Las Vegas, Nevada, USA",Light,Decision - Split,3,5:00,3,a,0,0,31,65,26,72,47.0,36.0,43,78,54,102,3,7,0,0,42.0,0.0,0,0,0,0,328,192,0,0,8,18,3,11,44.0,27.0,8,19,8,17,1,4,0,0,25.0,0.0,0,0,0,0,152,8,0.0,0.0,11.0,20.0,7.0,23.0,55.0,30.0,19.0,28.0,20.0,37.0,2.0,3.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,176.0,80.0,0.0,0.0,12.0,27.0,16.0,38.0,44.0,42.0,16.0,31.0,26.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,26,57,18,58,3,5,7,13,2,3,1,1,19,45,16,53,12,20,10,19,0,0,0,0,7,17,2,9,0,0,1,2,1,1,0,0,7,15,2,9,1,3,1,2,0,0,0,0,8.0,16.0,4.0,19.0,2.0,2.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,11.0,11.0,15.0,5.0,12.0,0.0,0.0,0.0,0.0,11.0,24.0,12.0,30.0,1.0,3.0,3.0,7.0,0.0,0.0,1.0,1.0,12.0,25.0,12.0,33.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,0,0,16,16
12,Tatsuro Taira,HyunSung Park,17-1-0,67.0,125,70.0,Orthodox,27/01/2000,10-1-0,67.0,125,66.0,Orthodox,04/11/1995,2025-08-02,"Las Vegas, Nevada, USA",Flyweight,Submission,2,1:06,5,a,1,0,7,11,3,9,63.0,33.0,13,20,15,21,4,5,0,0,80.0,0.0,1,0,0,0,281,0,1,0,6,9,2,5,66.0,40.0,12,18,14,17,2,2,0,0,100.0,0.0,0,0,0,0,236,0,0.0,0.0,1.0,2.0,1.0,4.0,50.0,25.0,1.0,2.0,1.0,4.0,2.0,3.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,1,6,0,0,0,0,1,1,2,3,4,7,2,7,0,0,0,1,3,4,1,1,5,8,1,3,0,0,0,0,1,1,1,2,3,5,1,3,0,0,0,1,3,4,1,1,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,6,16,fighter_a,0,0,16,16
13,Chris Duncan,Mateusz Rebecki,14-2-0,70.0,155,71.0,Orthodox,10/05/1993,20-3-0,67.0,155,66.0,Southpaw,03/11/1992,2025-08-02,"Las Vegas, Nevada, USA",Lightweight,Decision - Unanimous,3,5:00,3,a,0,0,114,267,92,222,42.0,41.0,123,278,95,225,2,6,0,1,33.0,0.0,0,0,0,0,83,27,0,0,32,74,19,62,43.0,30.0,38,81,19,62,0,1,0,1,0.0,0.0,0,0,0,0,60,0,0.0,0.0,38.0,88.0,25.0,62.0,43.0,40.0,38.0,88.0,26.0,63.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,44.0,105.0,48.0,98.0,41.0,48.0,47.0,109.0,50.0,100.0,1.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,88,235,67,181,7,13,20,35,19,19,5,6,104,256,85,214,10,11,7,8,0,0,0,0,20,61,10,47,1,2,6,12,11,11,3,3,30,72,19,62,2,2,0,0,0,0,0,0,32.0,78.0,17.0,48.0,0.0,4.0,8.0,13.0,6.0,6.0,0.0,1.0,38.0,88.0,25.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,96.0,40.0,86.0,6.0,7.0,6.0,10.0,2.0,2.0,2.0,2.0,36.0,96.0,41.0,90.0,8.0,9.0,7.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
14,Elves Brener,Esteban Ribovics,16-6-0,70.0,155,72.0,Orthodox,27/09/1997,15-2-0,70.0,155,69.0,Orthodox,27/04/1996,2025-08-02,"Las Vegas, Nevada, USA",Lightweight,Decision - Unanimous,3,5:00,3,b,0,0,118,250,122,281,47.0,43.0,123,256,123,284,0,9,0,0,0.0,0.0,0,0,0,0,0,62,0,0,36,68,39,95,52.0,41.0,37,69,40,97,0,6,0,0,0.0,0.0,0,0,0,0,0,42,0.0,0.0,48.0,88.0,34.0,84.0,54.0,40.0,51.0,92.0,34.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,34.0,94.0,49.0,102.0,36.0,48.0,35.0,95.0,49.0,102.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,88,211,86,233,15,23,23,29,15,16,13,19,118,248,114,268,0,2,0,0,0,0,8,13,21,51,29,83,6,8,6,6,9,9,4,6,36,68,31,82,0,0,0,0,0,0,8,13,39.0,76.0,21.0,65.0,5.0,8.0,7.0,10.0,4.0,4.0,6.0,9.0,48.0,88.0,34.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,84.0,36.0,85.0,4.0,7.0,10.0,13.0,2.0,3.0,3.0,4.0,34.0,92.0,49.0,102.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
15,Karol Rosa,Nora Cornolle,19-7-0,65.0,135,67.0,Orthodox,30/12/1994,9-3-0,67.0,135,67.0,Orthodox,06/12/1989,2025-08-02,"Las Vegas, Nevada, USA",Women's Bantamweight,Decision - Unanimous,3,5:00,3,a,0,0,33,58,27,47,56.0,57.0,190,224,75,98,2,3,0,0,66.0,0.0,2,0,0,0,685,0,0,0,18,34,24,37,52.0,64.0,29,47,45,59,0,1,0,0,0.0,0.0,0,0,0,0,123,0,0.0,0.0,7.0,11.0,0.0,3.0,63.0,0.0,77.0,84.0,6.0,9.0,1.0,1.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,8.0,13.0,3.0,7.0,61.0,42.0,84.0,93.0,24.0,30.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,25,47,15,33,6,8,4,4,2,3,8,10,14,35,17,36,6,6,10,11,13,17,0,0,10,24,14,26,6,7,4,4,2,3,6,7,12,28,14,27,6,6,10,10,0,0,0,0,7.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,8.0,12.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,3.0,6.0,0.0,0.0,0.0,1.0,7.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,16,16,16,16,16,16,16,16,10,12,fighter_a,0,0,16,16
16,Neil Magny,Elizeu Zaleski dos Santos,30-14-0,75.0,170,80.0,Orthodox,03/08/1987,25-10-1,71.0,170,73.0,Orthodox,11/12/1986,2025-08-02,"Las Vegas, Nevada, USA",Welterweight,KO/TKO,2,4:39,3,a,0,0,42,67,20,42,62.0,47.0,80,113,42,69,2,3,1,5,66.0,20.0,0,0,0,0,79,280,0,0,17,36,18,36,47.0,50.0,29,50,24,42,0,1,0,4,0.0,0.0,0,0,0,0,16,123,0.0,0.0,25.0,31.0,2.0,6.0,80.0,33.0,51.0,63.0,18.0,27.0,2.0,2.0,1.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,63.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,61,5,24,4,4,4,5,0,2,11,13,19,43,17,38,3,3,3,4,20,21,0,0,13,30,5,20,4,4,4,5,0,2,9,11,16,35,15,32,1,1,3,4,0,0,0,0,25.0,31.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,8.0,2.0,6.0,2.0,2.0,0.0,0.0,20.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,14,16,16,16,16,16,16,16,16,16,16,15,14,fighter_b,0,0,16,16
17,Kevin Vallejos,Danny Silva,16-1-0,67.0,145,68.0,Switch,08/12/2001,10-2-0,71.0,145,70.0,Switch,30/01/1997,2025-08-02,"Las Vegas, Nevada, USA",Featherweight,Decision - Unanimous,3,5:00,3,a,0,0,69,164,90,229,42.0,39.0,73,168,90,230,1,9,2,5,11.0,40.0,0,0,0,0,22,74,0,0,10,39,19,54,25.0,35.0,10,39,19,55,1,1,0,2,100.0,0.0,0,0,0,0,10,19,0.0,0.0,22.0,50.0,35.0,81.0,44.0,43.0,25.0,53.0,35.0,81.0,0.0,3.0,1.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,4.0,33.0,0.0,0.0,37.0,75.0,36.0,94.0,49.0,38.0,38.0,76.0,36.0,94.0,0.0,5.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,51,135,60,184,12,17,27,41,6,12,3,4,68,160,81,217,1,4,9,12,0,0,0,0,4,25,9,40,4,7,7,10,2,7,3,4,10,39,18,53,0,0,1,1,0,0,0,0,15.0,41.0,21.0,59.0,3.0,4.0,14.0,22.0,4.0,5.0,0.0,0.0,22.0,49.0,31.0,76.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,32.0,69.0,30.0,85.0,5.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,36.0,72.0,32.0,88.0,1.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
18,Rinya Nakamura,Nathan Fletcher,10-1-0,67.0,135,68.0,Southpaw,23/03/1995,9-3-0,67.0,135,70.0,Orthodox,03/01/1998,2025-08-02,"Las Vegas, Nevada, USA",Bantamweight,KO/TKO,1,1:02,3,a,1,0,12,19,3,7,63.0,42.0,12,19,3,7,0,0,0,0,0.0,0.0,0,0,0,0,2,0,1,0,12,19,3,7,63.0,42.0,12,19,3,7,0,0,0,0,0.0,0.0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,0,1,4,4,1,1,2,2,2,5,8,15,3,7,0,0,0,0,4,4,0,0,6,13,0,1,4,4,1,1,2,2,2,5,8,15,3,7,0,0,0,0,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
19,Tresean Gore,Rodolfo Vieira,6-4-0,72.0,185,75.0,Switch,21/06/1994,11-3-0,72.0,185,73.0,Orthodox,25/09/1989,2025-08-02,"Las Vegas, Nevada, USA",Middleweight,Decision - Unanimous,3,5:00,3,b,0,0,89,159,41,114,55.0,35.0,96,169,50,125,1,14,0,0,7.0,0.0,0,0,0,0,194,2,0,0,15,26,11,25,57.0,44.0,19,30,13,27,1,7,0,0,14.0,0.0,0,0,0,0,129,0,0.0,0.0,36.0,66.0,14.0,45.0,54.0,31.0,36.0,66.0,15.0,46.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,38.0,67.0,16.0,44.0,56.0,36.0,41.0,73.0,22.0,52.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,51,118,22,88,22,25,4,10,16,16,15,16,87,155,41,114,2,4,0,0,0,0,0,0,7,17,3,15,4,5,2,3,4,4,6,7,13,23,11,25,2,3,0,0,0,0,0,0,23.0,51.0,11.0,38.0,8.0,10.0,0.0,4.0,5.0,5.0,3.0,3.0,36.0,65.0,14.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,50.0,8.0,35.0,10.0,10.0,2.0,3.0,7.0,7.0,6.0,6.0,38.0,67.0,16.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
20,Andrey Pulyaev,Nick Klein,10-3-0,76.0,185,78.0,Southpaw,10/09/1997,6-3-0,73.0,185,77.0,Orthodox,08/09/1995,2025-08-02,"Las Vegas, Nevada, USA",Middleweight,KO/TKO,2,1:31,3,a,0,1,10,21,23,31,47.0,74.0,19,33,30,38,4,7,0,0,57.0,0.0,1,0,0,0,285,2,0,0,9,18,12,18,50.0,66.0,18,30,17,23,3,5,0,0,60.0,0.0,1,0,0,0,235,0,0.0,1.0,1.0,3.0,11.0,13.0,33.0,84.0,1.0,3.0,13.0,15.0,1.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,15,22,5,8,8,9,0,0,0,0,3,11,12,18,7,10,9,11,0,0,2,2,5,12,7,12,4,6,5,6,0,0,0,0,3,9,5,10,6,9,7,8,0,0,0,0,0.0,1.0,8.0,10.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,8.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,fighter_b,0,0,16,16
